timestep,total_waiting,total_vehicles,avg_speed_network,ev_active,incident_active
0,0,1,13.887,0,0
5,0,1,13.886,0,0
10,0,2,13.885,0,0
15,0,3,13.885,0,0
20,0,4,13.878,0,0
25,0,5,13.876,0,0
30,0,6,13.876,0,0
35,0,6,13.871,0,0
40,0,7,13.875,0,0
45,0,8,13.883,0,0
50,0,8,13.873,0,0
55,0,10,13.868,0,0
60,0,11,13.874,0,0
65,0,11,13.87,0,0
70,0,12,13.843,0,0
75,0,12,13.851,0,0
80,0,12,13.859,0,0
85,0,15,13.859,0,0
90,0,16,13.859,0,0
95,0,14,13.865,0,0
100,0,15,13.861,0,0
105,1,18,13.818,0,0
110,0,17,13.848,0,0
115,0,20,13.853,0,0
120,0,18,13.856,0,0
125,0,18,13.855,0,0
130,0,18,13.848,0,0
135,2,19,13.796,0,0
140,3,21,13.778,0,0
